Location,Average net_retail_sales
0000002642 - NORWICH,34.4
0000001962 - SHIRLEY FH,33.5
0000002590 - MOORTOWN LEEDS SF,27.833333333333332
0000002097 - FORT WILLIAM,25.666666666666668
0000000399 - CHESHIRE OAKS,23.333333333333332
0000000134 - BANKSIDE SF,20.333333333333332
0000002172 - ROYSTON,20.0
0000003476 - BLACKHEATH SF,20.0
0000001371 - WEST BRIDGFORD SF,18.333333333333332
0000001990 - WOOLWICH SF,18.0
0000005429 - DOUGLAS,17.5
0000001300 - NEWCASTLE,17.333333333333332
0000002124 - WESTWAY CHELMSFORD SF,16.666666666666668
0000002914 - EDINBURGH,16.166666666666668
0000002117 - MOSELEY FOODHALL,16.0
0000000998 - KINGSLEY VILLAGE,15.833333333333334
0000000055 - GYLE,15.333333333333334
0000000084 - READING,15.333333333333334
0000000165 - NEWTOWNBREDA,15.0
0000005283 - KINNAIRD EDINBURGH,15.0
0000001740 - CAMBRIDGE,14.833333333333334
0000001007 - FINSBURY PARK,14.833333333333334
0000002108 - MANCHESTER SPINNINGFIELDS FOODHALL,14.4
0000000382 - CARDEN AVENUE BRIGHTON SF,14.166666666666666
0000002529 - FINSBURY PAVEMENT,14.166666666666666
0000000247 - NEW CHANGE SF,14.166666666666666
0000009153 - GUISELEY SF,13.833333333333334
0000001767 - THE GALLERIES,13.0
0000001902 - LEAMINGTON,12.833333333333334
0000001212 - NANTWICH SF,12.8
0000004514 - SUMMERTOWN SF,12.666666666666666
0000001603 - STEVENAGE RETAIL PARK,12.5
0000001685 - FROME SF,12.166666666666666
0000000903 - BROMLEY,12.0
0000000327 - TUNBRIDGE WELLS,12.0
0000003544 - WESTHILL SF,11.833333333333334
0000001588 - CHELMSFORD,11.666666666666666
0000000793 - DALSTON SF,11.666666666666666
0000000343 - MEADOWHALL,11.666666666666666
0000000265 - ECCLESALL ROAD SHEFFIELD SF,11.333333333333334
0000002613 - EALING BROADWAY,11.166666666666666
0000000244 - STRATFORD CITY LONDON,11.166666666666666
0000002286 - HACKNEY,11.166666666666666
0000000919 - SOUTHBANK PLACE,11.166666666666666
