Product,Geography,Time,Gross Retail Sales,Net Retail Sales,Number of Stores Selling,Volume Sales,Unit Rate of Sale,Unit Price,Number of Weeks Sold,Closing Stock
29412693 - DURATION SWEEPING COAST,0000002613 - EALING BROADWAY,w/e 27 Apr 2024,,,,,,,,12
29412693 - DURATION SWEEPING COAST,0000002613 - EALING BROADWAY,w/e 04 May 2024,£11.10,£11,1,3,3,£3.70,1,9
29412693 - DURATION SWEEPING COAST,0000002613 - EALING BROADWAY,w/e 11 May 2024,£3.70,£4,1,1,1,£3.70,1,8
29412693 - DURATION SWEEPING COAST,0000002613 - EALING BROADWAY,w/e 18 May 2024,£11.10,£11,1,3,3,£3.70,1,29
29412693 - DURATION SWEEPING COAST,0000002613 - EALING BROADWAY,w/e 25 May 2024,£18.50,£19,1,5,5,£3.70,1,48
29412693 - DURATION SWEEPING COAST,0000002613 - EALING BROADWAY,w/e 01 Jun 2024,£22.20,£22,1,6,6,£3.70,1,42
29412693 - DURATION SWEEPING COAST,0000003146 - KENSINGTON,w/e 27 Apr 2024,,,,,,,,12
29412693 - DURATION SWEEPING COAST,0000003146 - KENSINGTON,w/e 04 May 2024,£0.00,£0,,0,,,,12
29412693 - DURATION SWEEPING COAST,0000003146 - KENSINGTON,w/e 18 May 2024,£3.70,£4,1,1,1,£3.70,1,23
29412693 - DURATION SWEEPING COAST,0000003146 - KENSINGTON,w/e 25 May 2024,£3.70,£4,1,1,1,£3.70,1,22
29412693 - DURATION SWEEPING COAST,0000003146 - KENSINGTON,w/e 01 Jun 2024,£0.00,£0,,0,,,,22
29412693 - DURATION SWEEPING COAST,0000000770 - MARBLE ARCH,w/e 27 Apr 2024,,,,,,,,12
29412693 - DURATION SWEEPING COAST,0000000770 - MARBLE ARCH,w/e 04 May 2024,£0.00,£0,,0,,,,36
29412693 - DURATION SWEEPING COAST,0000000770 - MARBLE ARCH,w/e 11 May 2024,£3.70,£4,1,1,1,£3.70,1,35
29412693 - DURATION SWEEPING COAST,0000000770 - MARBLE ARCH,w/e 18 May 2024,£3.70,£4,1,1,1,£3.70,1,46
29412693 - DURATION SWEEPING COAST,0000000770 - MARBLE ARCH,w/e 25 May 2024,£3.70,£4,1,1,1,£3.70,1,45
29412693 - DURATION SWEEPING COAST,0000000770 - MARBLE ARCH,w/e 01 Jun 2024,£7.40,£7,1,2,2,£3.70,1,43
29412693 - DURATION SWEEPING COAST,0000004297 - WHITE CITY,w/e 27 Apr 2024,,,,,,,,12
29412693 - DURATION SWEEPING COAST,0000004297 - WHITE CITY,w/e 04 May 2024,£0.00,£0,,0,,,,24
