Location,Average volume_sales
0000002642 - NORWICH,9.8
0000001962 - SHIRLEY FH,9.5
0000002590 - MOORTOWN LEEDS SF,8.0
0000000399 - CHESHIRE OAKS,6.666666666666667
0000002097 - FORT WILLIAM,6.0
0000002172 - ROYSTON,5.6
0000000134 - BANKSIDE SF,5.5
0000003476 - BLACKHEATH SF,5.333333333333333
0000001371 - WEST BRIDGFORD SF,5.166666666666667
0000005429 - DOUGLAS,5.0
0000001990 - WOOLWICH SF,4.833333333333333
0000001300 - NEWCASTLE,4.833333333333333
0000002124 - WESTWAY CHELMSFORD SF,4.666666666666667
0000000998 - KINGSLEY VILLAGE,4.5
0000002117 - MOSELEY FOODHALL,4.5
0000000165 - NEWTOWNBREDA,4.333333333333333
0000000084 - READING,4.333333333333333
0000001740 - CAMBRIDGE,4.166666666666667
0000001007 - FINSBURY PARK,4.0
0000000382 - CARDEN AVENUE BRIGHTON SF,4.0
0000009153 - GUISELEY SF,4.0
0000002108 - MANCHESTER SPINNINGFIELDS FOODHALL,4.0
0000001767 - THE GALLERIES,4.0
0000002914 - EDINBURGH,4.0
0000002529 - FINSBURY PAVEMENT,3.8333333333333335
0000000247 - NEW CHANGE SF,3.8333333333333335
0000000055 - GYLE,3.8333333333333335
0000001902 - LEAMINGTON,3.6666666666666665
0000001212 - NANTWICH SF,3.6
0000001603 - STEVENAGE RETAIL PARK,3.5
0000005283 - KINNAIRD EDINBURGH,3.5
0000001685 - FROME SF,3.5
0000004514 - SUMMERTOWN SF,3.5
0000001588 - CHELMSFORD,3.3333333333333335
0000000903 - BROMLEY,3.3333333333333335
0000000327 - TUNBRIDGE WELLS,3.3333333333333335
0000000343 - MEADOWHALL,3.3333333333333335
0000000793 - DALSTON SF,3.1666666666666665
0000001312 - OATLANDS HARROGATE SF,3.1666666666666665
0000000265 - ECCLESALL ROAD SHEFFIELD SF,3.1666666666666665
0000006826 - TEDDINGTON SF,3.1666666666666665
0000002613 - EALING BROADWAY,3.0
0000001210 - MARTLESHAM HEATH SF,3.0
0000004734 - LONDON COLNEY,3.0
0000000244 - STRATFORD CITY LONDON,3.0
0000002286 - HACKNEY,3.0
0000000919 - SOUTHBANK PLACE,3.0
0000001668 - LEEDS WHITE ROSE,3.0
0000001579 - LEAMINGTON SHOPPING PARK,3.0
0000004064 - COLLIERS WOOD,3.0
0000001992 - PORTFIELD CHICHESTER,2.8333333333333335
0000000246 - YORK,2.8333333333333335
0000000521 - CLAPHAM,2.6666666666666665
0000002170 - ASHTEAD SF,2.6666666666666665
0000002001 - TONBRIDGE SF,2.6666666666666665
0000003544 - WESTHILL SF,2.6666666666666665
0000001965 - WESTON LOCK BATH SF,2.6666666666666665
0000004190 - DARTMOUTH SF,2.6666666666666665
0000002096 - EXMOUTH,2.6666666666666665
0000001667 - EARLSFIELD,2.6666666666666665
0000001989 - CHILWELL NOTTINGHAM SF,2.5
0000000709 - CANTERBURY,2.5
0000000381 - MAYBROOK CANTERBURY SF,2.5
0000000152 - LISBURN,2.5
0000000071 - HANDFORTH,2.5
0000006538 - SALE SF,2.5
0000006499 - HARROGATE,2.5
0000001959 - BRISTOL EASTGATE,2.5
0000001643 - HEDGE END,2.5
0000000420 - WASHINGTON GALLERIES SF,2.4
0000009996 - COWLEY RD OXFORD SF,2.4
0000000819 - CHISWICK SF,2.3333333333333335
0000000097 - CHESHUNT,2.3333333333333335
0000001232 - BRIGHTON,2.3333333333333335
0000006460 - BLUEWATER,2.3333333333333335
0000003722 - CANARY WHARF SF,2.3333333333333335
0000003777 - BANGOR NI,2.3333333333333335
0000001750 - COLERAINE RIVERSIDE,2.3333333333333335
0000007472 - PRESTWICH SF,2.3333333333333335
0000000432 - KENTON BAR,2.3333333333333335
0000002102 - ASHBY DE LA ZOUCH,2.3333333333333335
0000001610 - NEW MILTON,2.2
0000003858 - CARDINAL PLACE VICTORIA,2.1666666666666665
0000001935 - HAVANT,2.1666666666666665
0000001633 - BATTERSEA POWER STATION,2.1666666666666665
0000001678 - STOCKPORT RETAIL PARK,2.1666666666666665
0000003353 - METRO CENTRE,2.1666666666666665
0000001324 - IMPERIAL RP BRISTOL SF,2.1666666666666665
0000000563 - KILBURN SF,2.1666666666666665
0000002116 - EASTLEIGH,2.1666666666666665
0000003803 - BROOKLANDS,2.1666666666666665
0000009247 - TRING SF,2.0
0000000644 - NOTTINGHAM,2.0
0000001029 - ECLIPSE PARK MAIDSTONE,2.0
0000007498 - WEST WICKHAM SF,2.0
0000000132 - AINTREE,2.0
0000000433 - GATESHEAD TEAM VALLEY SF,2.0
0000000199 - DUNBLANE SF,2.0
0000000397 - ANNIESLAND SF,2.0
0000005295 - EXEBRIDGES EXETER SF,2.0
0000001366 - WOLSTANTON STOKE,2.0
0000001916 - MATLOCK SF,2.0
0000001423 - ST ALBANS,1.8333333333333333
0000002095 - CHICHESTER,1.8333333333333333
0000003104 - SHOREHAM,1.8333333333333333
0000002112 - LONDON SQUARE STREATHAM HILL,1.8333333333333333
0000001292 - VANGARDE MONKS,1.8333333333333333
0000001432 - WHEATLEY HALL ROAD DONCASTER SF,1.8333333333333333
0000000761 - DIDCOT,1.8333333333333333
0000001245 - CHESTER,1.8333333333333333
0000002120 - WESTBRIDGE PARK,1.8333333333333333
0000004750 - TOTTENHAM COURT RD SF,1.6666666666666667
